Acrylamide Conc. %,Bis-acrylamide conc %,Photo-initiator conc. %,Layer Height. (micron),Bottom Layer exposure time (s),Exposure time (s),Frequency (Hz),Storage modulus (Pa),Loss modulus (Pa)
10,0.3,1.5,30,50,6,10,2617.534668,367.0593872
10,0.3,1.5,30,50,6,0.01,1049.903809,202.2084198
10,0.3,1.5,30,50,6,0.015848933,1190.813843,193.9084167
10,0.3,1.5,30,50,6,0.025118863,1298.634888,183.133606
10,0.3,1.5,30,50,6,0.039810721,1374.69873,172.2228546
10,0.3,1.5,30,50,6,0.063095748,1442.465576,164.2783508
10,0.3,1.5,30,50,6,0.100000001,1496.261353,157.4094391
10,0.3,1.5,30,50,6,0.158489317,1542.6073,152.6832428
10,0.3,1.5,30,50,6,0.251188636,1583.5271,149.8647919
10,0.3,1.5,30,50,6,0.398107171,1622.072388,149.740036
10,0.3,1.5,30,50,6,0.630957365,1654.872925,151.8221893
10,0.3,1.5,30,50,6,1,1692.331909,157.1064606
10,0.3,1.5,30,50,6,1.584893227,1718.123413,168.759552
10,0.3,1.5,30,50,6,2.511886358,1703.510864,197.4153748
10,0.3,1.5,30,50,6,3.981071472,1558.744385,250.9070587
10,0.3,1.5,30,50,6,6.309572697,1807.75293,207.6568146
10,0.3,1.5,30,50,6,10,1951.111328,292.592926
10,0.3,1.5,30,50,6,0.01,836.6077271,205.6836548
10,0.3,1.5,30,50,6,0.015848933,1029.48999,200.5415497
10,0.3,1.5,30,50,6,0.025118863,1163.221069,191.0995178
10,0.3,1.5,30,50,6,0.039810721,1250.923096,185.1548462
10,0.3,1.5,30,50,6,0.063095748,1319.343994,178.088501
10,0.3,1.5,30,50,6,0.100000001,1374.470825,172.3211212
10,0.3,1.5,30,50,6,0.158489317,1424.284058,169.1730499
10,0.3,1.5,30,50,6,0.251188636,1466.146484,166.9062042
10,0.3,1.5,30,50,6,0.398107171,1506.325073,167.806488
10,0.3,1.5,30,50,6,0.630957365,1543.34668,171.0149994
10,0.3,1.5,30,50,6,1,1581.878052,176.4074097
10,0.3,1.5,30,50,6,1.584893227,1606.97168,189.6759491
10,0.3,1.5,30,50,6,2.511886358,1577.348877,221.244751
10,0.3,1.5,30,50,6,3.981071472,1464.672363,264.6411743
